scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
1 scenario1_n33_popSize1370_r2.9e-7 1 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 6.00e-03 2.15e-06
1 scenario1_n33_popSize1370_r2.9e-7 2 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 7.30e-02 1.39e-01 1.83e-01
1 scenario1_n33_popSize1370_r2.9e-7 3 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 5.45e-01 1.00e+00
1 scenario1_n33_popSize1370_r2.9e-7 4 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 8.80e-02 4.00e-03 1.63e-01
1 scenario1_n33_popSize1370_r2.9e-7 5 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 1.61e-01 7.37e-01
1 scenario1_n33_popSize1370_r2.9e-7 6 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 4.30e-02 2.15e-01 2.07e-02
1 scenario1_n33_popSize1370_r2.9e-7 7 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 1.80e-02 2.26e-05
1 scenario1_n33_popSize1370_r2.9e-7 8 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.13e-01 3.20e-01 1.30e-01
1 scenario1_n33_popSize1370_r2.9e-7 9 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.60e-02 8.00e-03 3.78e-02
1 scenario1_n33_popSize1370_r2.9e-7 10 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 4.00e-03 2.00e-03 3.56e-01
1 scenario1_n33_popSize1370_r2.9e-7 11 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 5.00e-03 2.40e-02
1 scenario1_n33_popSize1370_r2.9e-7 12 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 3.19e-01 8.35e-01 8.61e-01
1 scenario1_n33_popSize1370_r2.9e-7 13 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 3.40e-02 1.18e-01 3.28e-03
1 scenario1_n33_popSize1370_r2.9e-7 14 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 4.60e-02 1.04e-01
1 scenario1_n33_popSize1370_r2.9e-7 15 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 6.90e-02 5.20e-02 2.04e-02
1 scenario1_n33_popSize1370_r2.9e-7 16 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 1.00e-02 5.19e-06
1 scenario1_n33_popSize1370_r2.9e-7 17 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 5.93e-01 9.00e-03 2.17e-02
1 scenario1_n33_popSize1370_r2.9e-7 18 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 9.72e-01 2.64e-01
1 scenario1_n33_popSize1370_r2.9e-7 19 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.41e-01 2.59e-01 1.28e-01
1 scenario1_n33_popSize1370_r2.9e-7 20 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 9.70e-02 1.00e+00
