scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
1 scenario1_n100_popSize5446_r0 1 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 7.49e-01 5.77e-01 2.74e-01
1 scenario1_n100_popSize5446_r0 2 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.00e+00 2.63e-01 1.00e+00
1 scenario1_n100_popSize5446_r0 3 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.76e-01 6.24e-01 2.55e-01
1 scenario1_n100_popSize5446_r0 4 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 5.37e-01 2.86e-01 8.08e-01
1 scenario1_n100_popSize5446_r0 5 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.00e+00 3.30e-02 1.00e+00
1 scenario1_n100_popSize5446_r0 6 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.00e+00 5.99e-01 1.00e+00
1 scenario1_n100_popSize5446_r0 7 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 5.02e-01 5.56e-01 4.25e-02
1 scenario1_n100_popSize5446_r0 8 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.00e+00 5.58e-01 1.00e+00
1 scenario1_n100_popSize5446_r0 9 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.09e-01 2.68e-01 9.72e-01
1 scenario1_n100_popSize5446_r0 10 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 8.47e-01 8.80e-02 7.24e-01
1 scenario1_n100_popSize5446_r0 11 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 4.15e-01 5.78e-01 7.19e-01
1 scenario1_n100_popSize5446_r0 12 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 3.80e-02 5.33e-01 7.04e-01
1 scenario1_n100_popSize5446_r0 13 100 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 7.77e-01 4.50e-02 6.93e-01
