scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
3 scenario3_n100_popSize1288_r1.9e-7 1 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e-03 3.81e-01 4.05e-02
3 scenario3_n100_popSize1288_r1.9e-7 2 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 0.00e+00 6.70e-02 1.39e-04
3 scenario3_n100_popSize1288_r1.9e-7 3 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 6.00e-03 5.16e-01 8.71e-03
3 scenario3_n100_popSize1288_r1.9e-7 4 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 0.00e+00 2.81e-01 4.29e-02
3 scenario3_n100_popSize1288_r1.9e-7 5 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 0.00e+00 2.04e-01 9.65e-03
3 scenario3_n100_popSize1288_r1.9e-7 6 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 4.50e-02 2.70e-02 4.34e-03
3 scenario3_n100_popSize1288_r1.9e-7 7 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 1.60e-02 1.44e-01 5.94e-02
3 scenario3_n100_popSize1288_r1.9e-7 8 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 1.64e-01 3.47e-01 9.24e-03
3 scenario3_n100_popSize1288_r1.9e-7 9 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 1.40e-02 5.20e-01 3.60e-03
3 scenario3_n100_popSize1288_r1.9e-7 10 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 3.00e-03 1.84e-01 2.99e-02
3 scenario3_n100_popSize1288_r1.9e-7 11 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 4.10e-02 5.01e-01 4.62e-02
3 scenario3_n100_popSize1288_r1.9e-7 12 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 0.00e+00 8.75e-01 5.70e-02
3 scenario3_n100_popSize1288_r1.9e-7 13 100 1288 1.9e-7 4.1e-7 16478 8.06499 0.00052808 8.7017 1 0 1 1e-3 0.2 1.47e-01 3.88e-01 4.29e-02
