scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
2 scenario2_n33_popSize1370_r4.9e-7 1 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 1.61e-01 8.02e-01 2.26e-02
2 scenario2_n33_popSize1370_r4.9e-7 2 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e-03 1.47e-01 2.95e-01
2 scenario2_n33_popSize1370_r4.9e-7 3 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 3.80e-02 1.35e-01 4.34e-04
2 scenario2_n33_popSize1370_r4.9e-7 4 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 4.36e-01 3.54e-01 3.20e-01
2 scenario2_n33_popSize1370_r4.9e-7 5 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 2.00e-02 5.00e-03 1.73e-02
2 scenario2_n33_popSize1370_r4.9e-7 6 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 2.10e-02 4.61e-08
2 scenario2_n33_popSize1370_r4.9e-7 7 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 1.40e-02 5.00e-03 2.02e-02
2 scenario2_n33_popSize1370_r4.9e-7 8 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 1.22e-03
2 scenario2_n33_popSize1370_r4.9e-7 9 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 8.00e-03 8.32e-07
2 scenario2_n33_popSize1370_r4.9e-7 10 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 1.70e-02 9.20e-01 8.55e-02
2 scenario2_n33_popSize1370_r4.9e-7 11 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 5.82e-01 2.34e-01 4.63e-02
2 scenario2_n33_popSize1370_r4.9e-7 12 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 9.00e-03 4.70e-02
2 scenario2_n33_popSize1370_r4.9e-7 13 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e-03 1.40e-02 9.79e-05
2 scenario2_n33_popSize1370_r4.9e-7 14 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e-03 1.40e-01 9.97e-04
2 scenario2_n33_popSize1370_r4.9e-7 15 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 1.74e-06
2 scenario2_n33_popSize1370_r4.9e-7 16 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 5.00e-03 3.10e-01 8.36e-03
2 scenario2_n33_popSize1370_r4.9e-7 17 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 3.80e-02 2.99e-02
2 scenario2_n33_popSize1370_r4.9e-7 18 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 7.00e-03 5.00e-03 2.05e-03
2 scenario2_n33_popSize1370_r4.9e-7 19 33 1370 4.9e-7 5e-7 6854 9.20218 0.000685 4.69499 1 0 1 1e-3 0.2 0.00e+00 4.48e-01 8.09e-02
